Curve Name,Delta Name,CDO0000646,CDO0000649,CDO0000651,CDO0000657,CDO0000658,CDO0000659,CDO0000660,CDO0000661,CDO0000662,Sum Total
EURLIBOR,MAR12,5.03349146787764,17.3730917464127,24.440899354461,,,-3.33603788558321,2.26680951183275,-0.597584843313207,2.11649891043494,47.2971682621226
EURLIBOR,JUN12,2.64224680852968,15.6579985559802,24.2920436401011,,,-1.25568348526031,0.819706530320222,-0.224933134041536,0.765358236118331,42.6967371517477
EURLIBOR,SEP12,0.253594569241892,13.9756525750272,24.214678263464,,,0.809815364073074,-0.616389000811185,0.145057568170039,-0.575505056183485,38.2069042829815
EURLIBOR,DEC12,-2.05378143598923,12.2012922292924,23.8628896010909,,,2.80343593476573,-2.00241608532225,0.502172799278214,-1.86962013224691,33.4439729108689
EURLIBOR,MAR13,-0.0230974466849436,11.5971259234357,21.436220852721,,,0.0313859880861855,-0.0224136048437404,0.00562209769420955,-0.020927183213152,33.0039166271952
EURLIBOR,JUN13,0,7.09368547541089,13.1282580317601,,,0,0,0,0,20.221943507171
EURLIBOR,4 Years,,5.87277711456409,11.424303441862,,,,,,,17.297080556426
EURLIBOR,5 Years,,,,,,,,,,0
EURLIBOR,6 Years,,,,,,,,,,0
EURLIBOR,7 Years,,,,,,,,,,0
EURLIBOR,8 Years,,,,,,,,,,0
EURLIBOR,9 Years,,,,,,,,,,0
EURLIBOR,10 Years,,,,,,,,,,0
EURLIBOR,12 Years,,,,,,,,,,0
EURLIBOR,15 Years,,,,,,,,,,0
EURLIBOR,20 Years,,,,,,,,,,0
EURLIBOR,25 Years,,,,,,,,,,0
EURLIBOR,30 Years,,,,,,,,,,0
EURLIBOR,40 Years,,,,,,,,,,0
EURLIBOR,50 Years,,,,,,,,,,0
EURLIBOR,60 Years,,,,,,,,,,0
EURLIBOR,70 Years,,,,,,,,,,0
CADLIBOR,14-Mar-2011,,,,3.51585391919161,-7.4858155316424,,-0.0053092099623121,,1.22157835634381,-2.75369246606929
CADLIBOR,JUN11,,,,51.4475553739885,-120.154280167229,,-10.7942869319678,,9.36086097042543,-70.1401507547833
CADLIBOR,SEP11,,,,-16.8011880462172,-10.8138010335106,,-12.6844605666394,,-4.29258340729084,-44.592033053658
CADLIBOR,DEC11,,,,-18.4141917171673,-0.969838910146791,,-14.673122289092,,-8.28775996441956,-42.3449128808256
CADLIBOR,MAR12,,,,-37.1799528815818,22.8769199220424,,-14.2431488848802,,-9.46413464026942,-38.0103164846891
CADLIBOR,JUN12,,,,-15.804363969698,7.41206886163309,,-10.0005111610989,,-7.09301052638009,-25.4858167955439
CADLIBOR,2 Years,,,,-1204.1563352571,1079.4454456125,,-79.0673455028191,,-58.0019265400048,-261.780161687423
