Ccy Code, Business Date, Bid, Mid, Ask
LRD,24/09/2010,1.000000000,1.000000000,1.000000000
LSL,24/09/2010,6.404900000,6.420000000,6.435100000
LTL,24/09/2010,2.850000000,2.851000000,2.852000000
LUF,24/09/2010,33.308480000,33.308480000,33.308480000
LVL,24/09/2010,0.536800000,0.537300000,0.537800000
LYD,24/09/2010,1.205900000,1.205900000,1.205900000
MAD,24/09/2010,9.044100000,9.058800000,9.073500000
MGF,24/09/2010,6800.000000000,6800.000000000,6800.000000000
MMK,24/09/2010,6.387900000,6.387900000,6.387900000
MNT,24/09/2010,1176.000000000,1176.000000000,1176.000000000
MOP,24/09/2010,8.024500000,8.025000000,8.025500000
MRO,24/09/2010,264.320000000,265.310000000,266.300000000
MTL,24/09/2010,0.349400000,0.349950000,0.350500000
MUR,24/09/2010,26.250000000,26.400000000,26.550000000
MVR,24/09/2010,12.750000000,12.800000000,12.850000000
MWK,24/09/2010,106.500000000,108.250000000,110.000000000
MXN,24/09/2010,12.644200000,12.651150000,12.658100000
MYR,24/09/2010,3.098000000,3.100000000,3.102000000
MZM,24/09/2010,23262.000000000,23379.500000000,23497.000000000
NAD,24/09/2010,6.404900000,6.420000000,6.435100000
NGN,24/09/2010,134.900000000,135.050000000,135.200000000
NIO,24/09/2010,15.650000000,15.650000000,15.650000000
NLG,24/09/2010,1.819594000,1.819594000,1.819594000
NOK,24/09/2010,5.965300000,5.969200000,5.973100000
NPR,24/09/2010,69.840000000,69.920000000,70.000000000
NZD,24/09/2010,1.3738150844896276961121033109,1.3736263736263736263736263736,1.3734377145996429061942040928
OMR,24/09/2010,0.384900000,0.384950000,0.385000000
PAB,24/09/2010,1.000000000,1.000000000,1.000000000
PEN,24/09/2010,3.457000000,3.457000000,3.457000000
PGK,24/09/2010,3.2552083333333333333333333333,3.2467532467532467532467532468,3.2383419689119170984455958549
PHP,24/09/2010,44.110000000,44.115000000,44.120000000
